Edad;Año;Zona;Ambos;Hombres;Mujeres
65-74 años;2014;UE (27);54.1;53.1;55.2
65-74 años;2015;UE (27);56.2;55.3;57.1
65-74 años;2016;UE (27);55.8;55.1;56.6
65-74 años;2017;UE (27);56.5;55.5;57.5
65-74 años;2018;UE (27);55.8;54.7;56.9
65-74 años;2019;UE (27);55;54.3;55.6
65-74 años;2020;UE (27);54.9;54.5;55.2
65-74 años;2021;UE (27);54.6;54.1;55
65-74 años;2022;UE (27);56.2;56;56.5
65-74 años;2023;UE (27);54.8;54.5;55.1
75-84 años;2014;UE (27);66.1;64.5;67.4
75-84 años;2015;UE (27);67;65.1;68.4
75-84 años;2016;UE (27);66.2;64;67.8
75-84 años;2017;UE (27);66.3;64;68
75-84 años;2018;UE (27);66;62.9;68.3
75-84 años;2019;UE (27);65.4;63;67.3
75-84 años;2020;UE (27);65.4;63.3;66.9
75-84 años;2021;UE (27);65.5;62.8;67.5
75-84 años;2022;UE (27);66.5;65.1;67.6
75-84 años;2023;UE (27);65.7;64;67
85 y más;2014;UE (27);72.9;70.2;74.4
85 y más;2015;UE (27);74.8;70.4;77.3
85 y más;2016;UE (27);72.2;69.4;74
85 y más;2017;UE (27);71.7;71.9;71.8
85 y más;2018;UE (27);72.5;71.7;73.2
85 y más;2019;UE (27);70.7;69.1;71.7
85 y más;2020;UE (27);72.6;69.5;74.5
85 y más;2021;UE (27);74;72;75.2
85 y más;2022;UE (27);74.5;73.8;75
85 y más;2023;UE (27);73.2;70.8;74.6
65-74 años;2014;España;49.9;46.9;52.6
65-74 años;2015;España;54.7;53.8;55.5
65-74 años;2016;España;51;52;50.1
65-74 años;2017;España;47.6;47.5;47.8
65-74 años;2018;España;57.2;55;59.1
65-74 años;2019;España;51.2;49.9;52.3
65-74 años;2020;España;59.2;60;58.6
65-74 años;2021;España;59.6;59.2;59.9
65-74 años;2022;España;60.7;60.6;60.8
65-74 años;2023;España;57.6;58.3;57
75-84 años;2014;España;61.3;59.9;62.4
75-84 años;2015;España;71.3;69.5;72.7
75-84 años;2016;España;66.6;64.5;68.1
75-84 años;2017;España;61.8;55.6;66
75-84 años;2018;España;71.2;66.2;74.7
75-84 años;2019;España;67.8;64.6;70.2
75-84 años;2020;España;71.9;69.3;73.7
75-84 años;2021;España;70.2;66.2;73.1
75-84 años;2022;España;71.8;69.8;73.4
75-84 años;2023;España;68;65.7;69.6
85 y más;2014;España;72.5;67.2;75.3
85 y más;2015;España;80.7;72.3;85.4
85 y más;2016;España;76;72.6;77.9
85 y más;2017;España;66.4;65.1;67.2
85 y más;2018;España;74;71.7;75.5
85 y más;2019;España;72.2;64.6;76.5
85 y más;2020;España;75.9;72.3;77.9
85 y más;2021;España;77.9;78.8;77.4
85 y más;2022;España;77.8;76.8;78.4
85 y más;2023;España;75.4;74.8;75.8
